Master Data Type ID;Name;Description;Type;Used in Planning Area;Attribute ID;Attribute Description;Type;Data Type;Length;Key;Uppercase Values Only;Non-Negative Values Only;Required;Components;Referenced Master Data Type;Join Conditions;Referenced Attribute;Data Source;Filter Conditions
I22CURRENCY;Currency From;Currency From;Simple;X;I22CURRID;Currency From 22;;NVARCHAR;20;X;;;X;;;;;;
I22CURRENCY;Currency From;Currency From;Simple;X;I22CURRDESCR;Currency Description 22;;NVARCHAR;40;;;;;;;;;;
I22CURRENCYTO;Currency To;Currency To;Reference;X;I22CURRTOID;Currency To 22;;NVARCHAR;20;X;;;X;;I22CURRENCY;;I22CURRID;;
I22CURRENCYTO;Currency To;Currency To;Reference;X;I22CURRTODESCR;Currency To Description22;;NVARCHAR;40;;;;;;I22CURRENCY;;I22CURRDESCR;;
I22CUSTOMER;Customer;Customer;Simple;X;CUSTDESCR;Customer Desc.;;NVARCHAR;60;;;;;;;;;;
I22CUSTOMER;Customer;Customer;Simple;X;CUSTREGION;Customer Region;;NVARCHAR;20;;;;;;;;;;
I22CUSTOMER;Customer;Customer;Simple;X;CUSTID;Customer ID;;NVARCHAR;20;X;;;X;;;;;;
I22CUSTOMERPRODUCT;Customer Product;Customer Product;Compound;;CUSTID;Customer ID;;NVARCHAR;20;X;;;X;"I22PRODUCT, I22CUSTOMER";;;;;
I22CUSTOMERPRODUCT;Customer Product;Customer Product;Compound;;PRDID;Product ID;;NVARCHAR;40;X;;;X;"I22PRODUCT, I22CUSTOMER";;;;;
I22CUSTOMERPRODUCT;Customer Product;Customer Product;Compound;;PRICEUNIT;Price Unit;;DECIMAL;18;;;;;"I22PRODUCT, I22CUSTOMER";;;;;
I22EXCHANGERATE;Exchange Rate;Exchange Rate;Compound;;I22CURRID;Currency From 22;;NVARCHAR;20;X;;;X;"I22CURRENCYTO, I22CURRENCY";;;;;
I22EXCHANGERATE;Exchange Rate;Exchange Rate;Compound;;I22CURRTOID;Currency To 22;;NVARCHAR;20;X;;;X;"I22CURRENCYTO, I22CURRENCY";;;;;
I22EXCHANGERATE;Exchange Rate;Exchange Rate;Compound;;I22EXCHGRATE;Exchange Rate 22;;DECIMAL;18;;;;;"I22CURRENCYTO, I22CURRENCY";;;;;
I22LOCATION;Location;Location;Simple;X;LOCID;Location ID;;NVARCHAR;20;X;;;X;;;;;;
I22LOCATION;Location;Location;Simple;X;LOCDESCR;Location;;NVARCHAR;60;;;;;;;;;;
I22PRODUCT;Product;Product;Simple;X;ABCCODE;ABC Code;;NVARCHAR;3;;;;;;;;;;
I22PRODUCT;Product;Product;Simple;X;PRDDESCR;Product Desc;;NVARCHAR;60;;;;;;;;;;
I22PRODUCT;Product;Product;Simple;X;PRDFAMILY;Product Family;;NVARCHAR;40;;;;;;;;;;
I22PRODUCT;Product;Product;Simple;X;PRDID;Product ID;;NVARCHAR;40;X;;;X;;;;;;
I22PRODUCT;Product;Product;Simple;X;I22UOMDESCR;UOM Description22;;NVARCHAR;40;;;;;;;;;;
I22PRODUCT;Product;Product;Simple;X;I22UOMID;UOM From22;;NVARCHAR;20;;;;;;;;;;
I22RESOURCE;Resource;Resource;Simple;X;RESDESCR;Resource Desc.;;NVARCHAR;60;;;;;;;;;;
I22RESOURCE;Resource;Resource;Simple;X;RESID;Resource ID;;NVARCHAR;40;X;;;X;;;;;;
I22RESOURCELOCATION;Resource Location;Resource Location;Compound;;CAPASUPPLY;Capacity Supply;;DECIMAL;18;;;;;"I22RESOURCE, I22LOCATION";;;;;
I22RESOURCELOCATION;Resource Location;Resource Location;Compound;;RESID;Resource ID;;NVARCHAR;40;X;;;X;"I22RESOURCE, I22LOCATION";;;;;
I22RESOURCELOCATION;Resource Location;Resource Location;Compound;;LOCID;Location ID;;NVARCHAR;20;X;;;X;"I22RESOURCE, I22LOCATION";;;;;
I22RESOURCELOCATIONPRODUCT;Resource Location Product;Resource Location Product;Compound;;RESID;Resource ID;;NVARCHAR;40;X;;;X;"I22RESOURCE, I22LOCATION, I22PRODUCT";;;;;
I22RESOURCELOCATIONPRODUCT;Resource Location Product;Resource Location Product;Compound;;CAPACONSUMPTION;Capacity Consumption Rate;;DECIMAL;18;;;;;"I22RESOURCE, I22LOCATION, I22PRODUCT";;;;;
I22RESOURCELOCATIONPRODUCT;Resource Location Product;Resource Location Product;Compound;;LOCID;Location ID;;NVARCHAR;20;X;;;X;"I22RESOURCE, I22LOCATION, I22PRODUCT";;;;;
I22RESOURCELOCATIONPRODUCT;Resource Location Product;Resource Location Product;Compound;;PRDID;Product ID;;NVARCHAR;40;X;;;X;"I22RESOURCE, I22LOCATION, I22PRODUCT";;;;;
I22UOMCONVERSION;UOM Conversion;UOM Conversion;Compound;;PRDID;Product ID;;NVARCHAR;40;X;;;X;"I22PRODUCT, I22UOMTO";;;;;
I22UOMCONVERSION;UOM Conversion;UOM Conversion;Compound;;I22UOMCONVFACTOR;UOM Conversion Factor22;;DECIMAL;18;;;;;"I22PRODUCT, I22UOMTO";;;;;
I22UOMCONVERSION;UOM Conversion;UOM Conversion;Compound;;I22UOMTOID;UOM To22;;NVARCHAR;20;X;;;X;"I22PRODUCT, I22UOMTO";;;;;
I22UOMTO;UOM To;UOM To;Simple;X;I22UOMTODESCR;UOM To Description22;;NVARCHAR;40;;;;;;;;;;
I22UOMTO;UOM To;UOM To;Simple;X;I22UOMTOID;UOM To22;;NVARCHAR;20;X;;;X;;;;;;